"filename", "language", "TypeScript", "TypeScript React", "CSS", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\App.test.tsx", "TypeScript React", 0, 8, 0, 0, 2, 10
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\App.tsx", "TypeScript React", 0, 31, 0, 0, 5, 36
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\Layout.tsx", "TypeScript React", 0, 14, 0, 0, 3, 17
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\Routes\Answers\Answers.tsx", "TypeScript React", 0, 127, 0, 0, 10, 137
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\Routes\AskQuestionPage.tsx", "TypeScript React", 0, 89, 0, 0, 8, 97
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\Routes\Departments\DepartmentDetails.tsx", "TypeScript React", 0, 41, 0, 0, 3, 44
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\Routes\Departments\Departments.tsx", "TypeScript React", 0, 12, 0, 0, 1, 13
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\Routes\MainPage.tsx", "TypeScript React", 0, 35, 0, 1, 3, 39
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\Routes\Subjects\SubjectDetails.tsx", "TypeScript React", 0, 28, 0, 0, 4, 32
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\Routes\Subjects\Subjects.tsx", "TypeScript React", 0, 64, 0, 1, 5, 70
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\Routes\Teachers\TeacherDetails.tsx", "TypeScript React", 0, 76, 0, 0, 4, 80
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\Routes\Teachers\Teachers.tsx", "TypeScript React", 0, 60, 0, 1, 10, 71
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\Routes\UserDetails.tsx", "TypeScript React", 0, 79, 0, 1, 5, 85
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\component\DepartmDropdown.tsx", "TypeScript React", 0, 97, 0, 3, 15, 115
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\component\DepartmentsComp.tsx", "TypeScript React", 0, 84, 0, 1, 6, 91
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\component\MainBody.tsx", "TypeScript React", 0, 13, 0, 0, 2, 15
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\component\Question.tsx", "TypeScript React", 0, 109, 0, 1, 7, 117
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\component\Sidebar.tsx", "TypeScript React", 0, 132, 0, 0, 4, 136
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\component\SubjDropdown.tsx", "TypeScript React", 0, 96, 0, 3, 5, 104
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\component\UpperNavbar.tsx", "TypeScript React", 0, 112, 0, 1, 7, 120
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\index.css", "CSS", 0, 0, 3, 0, 1, 4
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\index.tsx", "TypeScript React", 0, 12, 0, 3, 3, 18
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 3, 16
"c:\Users\yassi\OneDrive\Bureau\Project lab\QandA-website-for-academic-use\src\setupTests.ts", "TypeScript", 1, 0, 0, 4, 1, 6
"Total", "-", 14, 1319, 3, 21, 118, 1475